"country","location_name","total_deaths","event_date","event_time","latitude","longitude"
HAITI,HAITI & DOMINICAN REPUBLIC,316000,"2010-01-12","21:53:10",18.457,-72.533
INDONESIA,OFF W. COAST OF SUMATRA,227899,"2004-12-26","00:58:53",3.295,95.982
CHINA,SICHUAN PROVINCE,87652,"2008-05-12","06:28:00",30.98,103.396
PERU,N. PERU,66794,"1970-05-31","20:23:27",-9.2,-78.8
TURKEY,GULF OF ISKENDERUN,56697,"2023-02-06","01:17:35",37.166,37.042
IRAN,CASPIAN SEA,40000,"1990-06-20","21:00:09",36.957,49.409
GUATEMALA,GUATEMALA,23000,"1976-02-04","09:01:43",15.324,-89.101
JAPAN,HONSHU ISLAND,18428,"2011-03-11","05:46:24",38.297,142.373
TURKEY,"KOCAELI, TURKEY",17118,"1999-08-17","00:01:39",40.76,29.97
MOROCCO,MOROCCO,13100,"1960-02-29","23:40:12",30.5,-9.5
